"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","Art","Comics","Crafts","Dance","Design","Fashion","Film & Video","Food","Games","Journalism","Music","Photography","Publishing","Technology","Theater","target"
"1870",6000,6000,49,1,0.0833333333333333,1,1,1353488226,2667774,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1871",3000,3000,36,0,0.277777777777778,1,1,1439361940,2585660,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1872",16500,16500,4,0,0.25,1,1,1477549354,2763446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1873",25000,28197.61,47,1,0.152173913043478,0,0,1453923971,3838429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1874",20000,20877.92,50,1,0.122448979591837,0,0,1479351644,2516356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1875",10000,10000,15,0,0.4,1,1,1500937298,2527102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1876",1000,1000,10,0,0.1,1,1,1502670396,5114004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1877",500,500,45,1,0.818181818181818,1,1,1354330407,1220793,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1878",1000,1000,50,1,0.0204081632653061,1,1,1416354575,1836625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1879",1500,1500,36,6,0.1,1,1,1375744530,1143870,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1880",7000,7000,37,0,0.135135135135135,1,1,1270015319,3452281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1881",7500,7500,38,0,0.131578947368421,1,1,1402007352,2529048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1882",450000,685996.52,13,1,0.166666666666667,0,0,1362002538,2530662,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1883",3000,3000,9,0,0.111111111111111,1,1,1481048616,2547384,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1884",8000,8000,14,1,0.538461538461538,1,1,1474414199,1834201,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1885",10000,7394.81,21,0,0.0952380952380952,0,0,1490993870,5126530,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1886",3e+05,3e+05,8,1,0.142857142857143,1,1,1422497894,2518906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1888",15000,11275.65,55,2,0.169811320754717,0,0,1477957601,2614399,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1889",100,100,13,1,0.25,1,1,1437295707,2578293,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1890",1000,1525.9,7,0,0.142857142857143,0,0,1369407638,2642362,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1891",5000,5000,31,1,0.233333333333333,1,1,1414867187,5138413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1892",59000,44897.65,31,1,0.1,0,0,1481677017,2523783,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1894",20000,20000,31,0,0.032258064516129,1,1,1328265429,2575371,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1895",30000,30000,16,0,0.8125,1,1,1346804631,2522169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1896",2000,2000,61,4,0.0701754385964912,1,1,1285684576,5498624,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
